tribunal,siglaTribunal,dadosBasicos.orgaoJulgador.codigoOrgao,ocorrencia,valido,nao_valido,freq1,freq2,freq3,freq4
trf,TRF4,11958,173,39,0,1,24,13,1
trf,TRF4,11961,362,52,0,2,28,18,4
trf,TRF4,11964,469,44,0,2,28,12,2
trf,TRF4,11966,73,17,0,0,9,6,2
trf,TRF4,11967,189,26,0,0,13,9,4
trf,TRF4,11969,258,38,0,0,23,13,2
trf,TRF4,11971,188,38,0,0,22,12,4
trf,TRF4,11973,454,57,0,3,31,20,3
trf,TRF4,12001,322,52,0,2,28,19,3
trf,TRF4,12006,135,31,0,1,14,12,4
trf,TRF4,12008,178,31,0,0,15,12,4
trf,TRF4,12012,194,35,0,0,19,12,4
trf,TRF4,12013,467,52,0,2,29,17,4
trf,TRF4,12149,171,35,0,3,23,7,2
trf,TRF4,12150,250,30,0,2,15,9,4
trf,TRF4,12577,71,21,0,0,11,9,1
trf,TRF4,12578,260,12,0,0,8,4,0
trf,TRF4,12582,400,36,0,1,25,8,2
trf,TRF4,12583,113,9,0,0,5,4,0
trf,TRF4,12585,334,36,0,1,21,12,2
trf,TRF4,12586,185,16,0,0,9,7,0
trf,TRF4,12587,189,36,0,0,24,10,2
trf,TRF4,12591,236,21,0,0,13,6,2
trf,TRF4,12593,307,29,0,1,14,10,4
trf,TRF4,12594,221,32,0,0,22,8,2
trf,TRF4,12595,53,16,0,1,9,5,1
trf,TRF4,12602,214,12,0,0,6,6,0
trf,TRF4,12605,394,37,0,1,24,10,2
trf,TRF4,12616,119,26,0,0,15,9,2
trf,TRF4,12617,379,17,0,2,11,4,0
trf,TRF4,12618,107,8,0,0,6,2,0
trf,TRF4,12619,138,10,0,0,6,4,0
trf,TRF4,12620,1147,38,0,4,22,10,2
trf,TRF4,12621,252,30,0,0,20,9,1
trf,TRF4,12623,134,39,0,2,22,11,4
trf,TRF4,12626,164,12,0,0,6,6,0
trf,TRF4,12627,195,34,0,2,20,10,2
trf,TRF4,12630,85,16,0,0,9,6,1
trf,TRF4,12632,228,32,0,1,23,6,2
trf,TRF4,12633,216,29,0,1,17,9,2
trf,TRF4,12634,447,45,0,6,29,8,2
trf,TRF4,12635,711,54,0,11,30,11,2
trf,TRF4,12637,103,9,0,0,5,4,0
trf,TRF4,12639,145,9,0,0,5,4,0
trf,TRF4,12641,966,54,0,11,33,9,1
trf,TRF4,12642,632,50,0,9,30,9,2
trf,TRF4,12643,340,43,0,5,26,9,3
trf,TRF4,12653,161,10,0,0,6,4,0
trf,TRF4,12655,151,19,0,0,10,9,0
trf,TRF4,12660,136,21,0,0,10,8,3
trf,TRF4,12663,263,16,0,0,11,5,0
trf,TRF4,12664,407,20,0,0,12,8,0
trf,TRF4,12665,201,16,0,0,8,8,0
trf,TRF4,12667,206,23,0,0,11,8,4
trf,TRF4,12668,241,29,0,0,17,8,4
trf,TRF4,12669,129,9,0,0,5,4,0
trf,TRF4,12673,544,17,0,0,11,6,0
trf,TRF4,12674,528,18,0,0,12,6,0
trf,TRF4,12676,470,26,0,1,18,7,0
trf,TRF4,12677,371,22,0,0,15,6,1
trf,TRF4,12681,73,10,0,0,6,4,0
trf,TRF4,12685,85,17,0,0,11,6,0
trf,TRF4,12686,202,25,0,0,17,8,0
trf,TRF4,12687,280,25,0,0,15,10,0
trf,TRF4,12692,191,19,0,0,11,8,0
trf,TRF4,12694,107,9,0,0,5,4,0
trf,TRF4,12697,232,27,0,0,12,12,3
trf,TRF4,16437,110,10,0,0,6,4,0
trf,TRF4,17784,1478,7,0,0,6,1,0
trf,TRF4,17785,36,5,0,0,4,1,0
trf,TRF4,17786,376,14,0,0,7,7,0
trf,TRF4,17787,47,5,0,0,4,1,0
trf,TRF4,17788,93,7,0,0,5,2,0
trf,TRF4,17791,162,9,0,0,4,5,0
trf,TRF4,17793,122,10,0,0,6,4,0
trf,TRF4,17794,89,6,0,0,4,2,0
trf,TRF4,17795,172,13,0,1,6,4,2
trf,TRF4,17796,204,48,0,3,30,13,2
trf,TRF4,17804,204,10,0,0,6,4,0
trf,TRF4,17806,102,12,0,0,8,4,0
trf,TRF4,17807,25,3,0,0,2,1,0
trf,TRF4,17808,42,5,0,0,4,1,0
trf,TRF4,17809,27,3,0,0,2,1,0
trf,TRF4,17810,47,3,0,0,2,1,0
trf,TRF4,17812,255,11,0,1,7,3,0
trf,TRF4,17818,162,9,0,0,5,4,0
trf,TRF4,17819,1451,7,0,0,6,1,0
trf,TRF4,17820,157,17,0,0,9,6,2
trf,TRF4,17821,87,18,0,0,10,6,2
trf,TRF4,17822,306,35,0,0,22,11,2
trf,TRF4,17984,128,10,0,0,6,4,0
trf,TRF4,18085,117,14,0,0,7,5,2
trf,TRF4,18359,22,3,0,0,2,1,0
trf,TRF4,18360,1200,6,0,0,5,1,0
trf,TRF4,44494,144,8,0,0,3,2,3
trf,TRF4,44518,1077,32,0,0,30,2,0
trf,TRF4,44529,132,9,0,1,8,0,0
trf,TRF4,72822,114,15,0,0,6,8,1
trf,TRF4,72908,18,6,0,0,4,2,0
trf,TRF4,11917,387,55,0,2,37,12,4
trf,TRF4,11954,219,33,0,0,20,9,4
trf,TRF4,12011,299,33,0,1,17,11,4
trf,TRF4,12579,76,6,0,0,4,2,0
trf,TRF4,12589,86,5,0,0,3,2,0
trf,TRF4,12590,110,4,0,0,3,1,0
trf,TRF4,12592,82,8,0,1,5,2,0
trf,TRF4,12597,131,8,0,0,4,4,0
trf,TRF4,12600,177,18,0,1,7,7,3
trf,TRF4,12603,263,34,0,0,22,10,2
trf,TRF4,12604,399,33,0,2,20,9,2
trf,TRF4,12610,184,32,0,1,20,9,2
trf,TRF4,12611,296,37,0,3,23,9,2
trf,TRF4,12612,97,7,0,0,3,4,0
trf,TRF4,12613,79,13,0,0,8,4,1
trf,TRF4,12615,269,37,0,3,22,10,2
trf,TRF4,12638,127,11,0,0,4,7,0
trf,TRF4,12647,170,23,0,1,20,2,0
trf,TRF4,12650,187,35,0,0,24,9,2
trf,TRF4,12651,488,54,0,8,34,9,3
trf,TRF4,12656,290,36,0,1,16,15,4
trf,TRF4,12666,110,27,0,1,14,8,4
trf,TRF4,12678,147,7,0,0,5,2,0
trf,TRF4,12689,3775,27,0,0,14,9,4
trf,TRF4,12690,3915,22,0,1,12,5,4
trf,TRF4,13881,78,13,0,0,6,6,1
trf,TRF4,16180,483,31,0,0,20,11,0
trf,TRF4,16263,181,27,0,0,17,8,2
trf,TRF4,16592,63,12,0,0,5,6,1
trf,TRF4,17782,1847,35,0,4,24,7,0
trf,TRF4,17797,86,9,0,0,5,4,0
trf,TRF4,17798,102,16,0,0,8,8,0
trf,TRF4,17799,2634,24,0,0,12,8,4
trf,TRF4,17800,72,9,0,0,5,4,0
trf,TRF4,17811,78,3,0,0,2,1,0
trf,TRF4,17886,36,3,0,0,1,2,0
trf,TRF4,72824,92,4,0,0,2,2,0
trf,TRF4,72825,89,4,0,0,2,2,0
trf,TRF4,12675,160,24,0,2,14,6,2
trf,TRF4,17783,112,16,0,1,9,5,1
